tbto_voucher_code,voucher_usage,date
BFC5D19F4O3N,2,2021-06-09 11:49:25.262180
BE1FB0E70PYV,2,2021-06-09 11:49:25.262180
BFA59DFD41DD,2,2021-06-09 12:26:31.067072
BFAC6ADB8RG2,3,2021-06-09 12:26:31.067072
BFB86A47AKKS,3,2021-06-09 12:26:31.067072
BFB86CD8EDHO,3,2021-06-09 12:26:31.067072
BFB896BCAQTQ,2,2021-06-09 12:26:31.067072
BFB8ADC03W0K,3,2021-06-09 12:26:31.067072
BFB8FD33E8R7,3,2021-06-09 12:26:31.067072
BFCACD0E7PDE,4,2021-06-09 12:26:31.067072
BFCBF1FFFD0O,3,2021-06-09 12:26:31.067072
BFCCD731FXZ6,2,2021-06-09 12:26:31.067072
BFCCEFB20OXU,2,2021-06-09 12:26:31.067072
BFF05F6A55R7,2,2021-06-09 14:30:01.975494
BFD42BF93QD3,2,2021-06-09 22:15:01.837131
BEEC01327D4P,2,2021-06-10 20:15:02.154206
